t,xi_err_norm,manipulability_w,damping_lambda
2.735000,0.00028902,0.05884766,0.00000000
2.740000,0.00028761,0.05884422,0.00000000
2.745000,0.00028616,0.05884089,0.00000000
2.750000,0.00028465,0.05883766,0.00000000
2.755000,0.00028311,0.05883453,0.00000000
2.760000,0.00028152,0.05883151,0.00000000
2.765000,0.00027988,0.05882860,0.00000000
2.770000,0.00027820,0.05882578,0.00000000
2.775000,0.00027648,0.05882307,0.00000000
2.780000,0.00027470,0.05882047,0.00000000
2.785000,0.00027289,0.05881796,0.00000000
2.790000,0.00027102,0.05881555,0.00000000
2.795000,0.00026911,0.05881325,0.00000000
2.800000,0.00026715,0.05881104,0.00000000
2.805000,0.00026515,0.05880893,0.00000000
2.810000,0.00026309,0.05880691,0.00000000
2.815000,0.00026099,0.05880500,0.00000000
2.820000,0.00025885,0.05880317,0.00000000
2.825000,0.00025665,0.05880143,0.00000000
2.830000,0.00025441,0.05879979,0.00000000
2.835000,0.00025212,0.05879823,0.00000000
2.840000,0.00024978,0.05879676,0.00000000
2.845000,0.00024739,0.05879538,0.00000000
2.850000,0.00024496,0.05879408,0.00000000
2.855000,0.00024247,0.05879286,0.00000000
2.860000,0.00023994,0.05879172,0.00000000
2.865000,0.00023735,0.05879066,0.00000000
2.870000,0.00023472,0.05878967,0.00000000
2.875000,0.00023204,0.05878875,0.00000000
2.880000,0.00022931,0.05878791,0.00000000
2.885000,0.00022653,0.05878714,0.00000000
2.890000,0.00022369,0.05878643,0.00000000
2.895000,0.00022081,0.05878578,0.00000000
2.900000,0.00021788,0.05878520,0.00000000
2.905000,0.00021490,0.05878467,0.00000000
2.910000,0.00021186,0.05878420,0.00000000
2.915000,0.00020878,0.05878379,0.00000000
2.920000,0.00020564,0.05878342,0.00000000
2.925000,0.00020246,0.05878311,0.00000000
2.930000,0.00019922,0.05878284,0.00000000
2.935000,0.00019593,0.05878261,0.00000000
2.940000,0.00019259,0.05878243,0.00000000
2.945000,0.00018919,0.05878228,0.00000000
2.950000,0.00018575,0.05878216,0.00000000
2.955000,0.00018225,0.05878208,0.00000000
2.960000,0.00017870,0.05878202,0.00000000
2.965000,0.00017510,0.05878200,0.00000000
2.970000,0.00017144,0.05878199,0.00000000
2.975000,0.00016774,0.05878200,0.00000000
2.980000,0.00016398,0.05878203,0.00000000
2.985000,0.00016016,0.05878208,0.00000000
2.990000,0.00015629,0.05878213,0.00000000
2.995000,0.00015237,0.05878219,0.00000000
