t,q1,q2,q3,q4,q5,q6,q7
0.975000,0.15298121,0.73462502,0.07801460,-0.48514978,-0.07539964,0.26052147,0.12819712
0.980000,0.15419590,0.73955993,0.07876117,-0.48965605,-0.07589158,0.26262015,0.12913189
0.985000,0.15541977,0.74449232,0.07951212,-0.49412797,-0.07638509,0.26469918,0.13007140
0.990000,0.15665279,0.74942220,0.08026745,-0.49856574,-0.07688017,0.26675863,0.13101566
0.995000,0.15789494,0.75434958,0.08102715,-0.50296959,-0.07737683,0.26879862,0.13196468
1.000000,0.15914623,0.75927447,0.08179122,-0.50733977,-0.07787507,0.27081925,0.13291846
1.005000,0.16040664,0.76419690,0.08255967,-0.51167652,-0.07837489,0.27282063,0.13387701
1.010000,0.16167616,0.76911689,0.08333248,-0.51598011,-0.07887629,0.27480288,0.13484032
1.015000,0.16295477,0.77403447,0.08410964,-0.52025085,-0.07937924,0.27676613,0.13580839
1.020000,0.16424247,0.77894968,0.08489116,-0.52448900,-0.07988376,0.27871053,0.13678123
1.025000,0.16553925,0.78386255,0.08567702,-0.52869488,-0.08038983,0.28063620,0.13775882
1.030000,0.16684509,0.78877312,0.08646721,-0.53286879,-0.08089743,0.28254328,0.13874117
1.035000,0.16815998,0.79368144,0.08726173,-0.53701106,-0.08140655,0.28443193,0.13972826
1.040000,0.16948392,0.79858755,0.08806056,-0.54112198,-0.08191719,0.28630229,0.14072009
1.045000,0.17081689,0.80349150,0.08886369,-0.54520190,-0.08242931,0.28815451,0.14171664
1.050000,0.17215888,0.80839331,0.08967111,-0.54925114,-0.08294291,0.28998875,0.14271792
1.055000,0.17350987,0.81329305,0.09048281,-0.55327003,-0.08345796,0.29180515,0.14372390
1.060000,0.17486987,0.81819075,0.09129877,-0.55725889,-0.08397446,0.29360389,0.14473458
1.065000,0.17623885,0.82308646,0.09211899,-0.56121805,-0.08449237,0.29538510,0.14574994
1.070000,0.17761680,0.82798021,0.09294345,-0.56514785,-0.08501168,0.29714894,0.14676997
1.075000,0.17900372,0.83287205,0.09377214,-0.56904862,-0.08553237,0.29889558,0.14779465
1.080000,0.18039958,0.83776201,0.09460504,-0.57292068,-0.08605442,0.30062516,0.14882398
1.085000,0.18180438,0.84265013,0.09544214,-0.57676436,-0.08657781,0.30233785,0.14985794
1.090000,0.18321810,0.84753644,0.09628343,-0.58057999,-0.08710251,0.30403379,0.15089651
1.095000,0.18464073,0.85242097,0.09712890,-0.58436787,-0.08762851,0.30571313,0.15193968
1.100000,0.18607225,0.85730375,0.09797852,-0.58812835,-0.08815578,0.30737604,0.15298743
1.105000,0.18751265,0.86218481,0.09883229,-0.59186171,-0.08868431,0.30902266,0.15403974
1.110000,0.18896192,0.86706416,0.09969020,-0.59556829,-0.08921407,0.31065314,0.15509661
1.115000,0.19042003,0.87194183,0.10055223,-0.59924838,-0.08974504,0.31226762,0.15615801
1.120000,0.19188698,0.87681783,0.10141836,-0.60290228,-0.09027720,0.31386625,0.15722392
1.125000,0.19336274,0.88169217,0.10228859,-0.60653030,-0.09081052,0.31544918,0.15829433
1.130000,0.19484730,0.88656486,0.10316289,-0.61013272,-0.09134500,0.31701654,0.15936923
1.135000,0.19634065,0.89143591,0.10404127,-0.61370984,-0.09188060,0.31856848,0.16044859
1.140000,0.19784276,0.89630532,0.10492369,-0.61726193,-0.09241731,0.32010513,0.16153240
1.145000,0.19935362,0.90117309,0.10581016,-0.62078927,-0.09295510,0.32162662,0.16262064
1.150000,0.20087320,0.90603921,0.10670066,-0.62429215,-0.09349396,0.32313309,0.16371329
1.155000,0.20240150,0.91090366,0.10759516,-0.62777081,-0.09403387,0.32462467,0.16481034
1.160000,0.20393849,0.91576645,0.10849367,-0.63122552,-0.09457480,0.32610148,0.16591177
1.165000,0.20548414,0.92062755,0.10939617,-0.63465655,-0.09511675,0.32756365,0.16701756
1.170000,0.20703844,0.92548694,0.11030264,-0.63806414,-0.09565968,0.32901130,0.16812770
1.175000,0.20860137,0.93034460,0.11121308,-0.64144852,-0.09620358,0.33044456,0.16924216
1.180000,0.21017291,0.93520050,0.11212746,-0.64480996,-0.09674843,0.33186354,0.17036093
